shot_number,start_timecode,end_timecode,start_seconds,end_seconds,start_frame,end_frame_exclusive,duration_seconds,duration_frames
1,00:00:00.000,00:00:09.080,0.000000,9.080000,0,227,9.080000,227
2,00:00:09.080,00:00:11.200,9.080000,11.200000,227,280,2.120000,53
3,00:00:11.200,00:00:13.200,11.200000,13.200000,280,330,2.000000,50
4,00:00:13.200,00:00:13.880,13.200000,13.880000,330,347,0.680000,17
5,00:00:13.880,00:00:15.000,13.880000,15.000000,347,375,1.120000,28
6,00:00:15.000,00:00:16.000,15.000000,16.000000,375,400,1.000000,25
7,00:00:16.000,00:00:16.600,16.000000,16.600000,400,415,0.600000,15
8,00:00:16.600,00:00:18.880,16.600000,18.880000,415,472,2.280000,57
9,00:00:18.880,00:00:18.920,18.880000,18.920000,472,473,0.040000,1
10,00:00:18.920,00:00:18.960,18.920000,18.960000,473,474,0.040000,1
11,00:00:18.960,00:00:19.840,18.960000,19.840000,474,496,0.880000,22
12,00:00:19.840,00:00:19.920,19.840000,19.920000,496,498,0.080000,2
13,00:00:19.920,00:00:19.960,19.920000,19.960000,498,499,0.040000,1
14,00:00:19.960,00:00:20.840,19.960000,20.840000,499,521,0.880000,22
15,00:00:20.840,00:00:20.880,20.840000,20.880000,521,522,0.040000,1
16,00:00:20.880,00:00:20.920,20.880000,20.920000,522,523,0.040000,1
17,00:00:20.920,00:00:20.960,20.920000,20.960000,523,524,0.040000,1
18,00:00:20.960,00:00:21.840,20.960000,21.840000,524,546,0.880000,22
19,00:00:21.840,00:00:21.880,21.840000,21.880000,546,547,0.040000,1
20,00:00:21.880,00:00:21.920,21.880000,21.920000,547,548,0.040000,1
21,00:00:21.920,00:00:21.960,21.920000,21.960000,548,549,0.040000,1
22,00:00:21.960,00:00:22.840,21.960000,22.840000,549,571,0.880000,22
23,00:00:22.840,00:00:22.880,22.840000,22.880000,571,572,0.040000,1
24,00:00:22.880,00:00:22.920,22.880000,22.920000,572,573,0.040000,1
25,00:00:22.920,00:00:24.920,22.920000,24.920000,573,623,2.000000,50
26,00:00:24.920,00:00:26.000,24.920000,26.000000,623,650,1.080000,27
27,00:00:26.000,00:00:26.720,26.000000,26.720000,650,668,0.720000,18
28,00:00:26.720,00:00:26.800,26.720000,26.800000,668,670,0.080000,2
29,00:00:26.800,00:00:26.840,26.800000,26.840000,670,671,0.040000,1
30,00:00:26.840,00:00:26.880,26.840000,26.880000,671,672,0.040000,1
31,00:00:26.880,00:00:26.920,26.880000,26.920000,672,673,0.040000,1
32,00:00:26.920,00:00:29.960,26.920000,29.960000,673,749,3.040000,76
33,00:00:29.960,00:00:30.120,29.960000,30.120000,749,753,0.160000,4
34,00:00:30.120,00:00:30.160,30.120000,30.160000,753,754,0.040000,1
35,00:00:30.160,00:00:30.200,30.160000,30.200000,754,755,0.040000,1
36,00:00:30.200,00:00:30.240,30.200000,30.240000,755,756,0.040000,1
37,00:00:30.240,00:00:32.480,30.240000,32.480000,756,812,2.240000,56
